Case ID,Task ID,Condition,Timestamp,Activity,Event Type,Sensor,Message,Source File,Source Data Type
normal_p01_t1,t1,normal,2008-02-27T12:43:27.416392,Enter dining room,activity,M08,ON,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:27.848100,Move within dining room,activity,M07,ON,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:33.108756,Take phone book,activity,I08,ABSENT,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:03.717043,Move within dining room,activity,M13,ON,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:37.000000,Start phone use,activity,asterisk,START,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:42.772473,Move within dining room,activity,M13,ON,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:15.000000,End phone use,activity,asterisk,END,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:23.770089,Move within dining room,activity,M13,ON,adl_noerror/p01.t1.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:52.624433,Enter dining room,activity,M14,ON,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:53.802099,Move within dining room,activity,M15,ON,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:54.240040,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:55.470956,Move within kitchen,activity,M17,ON,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:58.105580,Use kitchen sink water,activity,AD1-B,0.0332818,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:38.708635,Move within kitchen,activity,M17,ON,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:40.520400,Use kitchen sink water,activity,AD1-B,0.467429,adl_noerror/p01.t2.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:50:43.533263,Enter kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:50:56.242000,Take pot,activity,I07,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:01.601718,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:03.797739,Take raisins,activity,I02,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:05.950145,Take brown sugar,activity,I03,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:09.800081,Take oatmeal,activity,I01,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:10.477900,Move within kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:11.473605,Take bowl,activity,I04,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:12.497614,Take measuring spoon,activity,I05,ABSENT,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:16.729926,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:25.432400,Use kitchen sink water,activity,AD1-C,0.0338677,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:29.984940,Move within kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:46.262390,Use burner,activity,AD1-A,2.81965,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:54.977721,Move within kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:04.749720,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:07.523938,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:19.645500,Use burner,activity,AD1-A,3.28802,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:27.142702,Move within kitchen,activity,M16,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:46.247350,Use burner,activity,AD1-A,3.33802,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:46.662363,Move within kitchen,activity,M16,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:16.770000,Use burner,activity,AD1-A,2.93059,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:48.799960,Move within kitchen,activity,M16,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:55.458990,Use burner,activity,AD1-A,2.99966,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:10.470408,Move within kitchen,activity,M16,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:58.228900,Use burner,activity,AD1-A,3.00122,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:20.987112,Move within kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
