Case ID,Task ID,Condition,Timestamp,Activity,Event Type,Sensor,Message,Raw Activity,Mapped Activity,Source File,Source Data Type
normal_p01_t1,t1,normal,2008-02-27T12:43:27.416392,Motion detected at M08,activity,M08,ON,M08 ON,Motion detected at M08,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:27.848100,Motion detected at M07,activity,M07,ON,M07 ON,Motion detected at M07,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:28.487061,Motion detected at M09,activity,M09,ON,M09 ON,Motion detected at M09,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:29.222889,Motion detected at M14,activity,M14,ON,M14 ON,Motion detected at M14,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:29.499828,Motion stopped at M23,activity,M23,OFF,M23 OFF,Motion stopped at M23,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:30.159565,Motion stopped at M01,activity,M01,OFF,M01 OFF,Motion stopped at M01,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:30.285610,Motion stopped at M07,activity,M07,OFF,M07 OFF,Motion stopped at M07,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:31.491254,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:31.491254,Motion stopped at M08,activity,M08,OFF,M08 OFF,Motion stopped at M08,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:32.189040,Motion stopped at M09,activity,M09,OFF,M09 OFF,Motion stopped at M09,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:33.108756,Take phone book,activity,I08,ABSENT,I08 ABSENT,Take phone book,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:33.587637,Motion stopped at M14,activity,M14,OFF,M14 OFF,Motion stopped at M14,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:43:59.493194,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:03.717043,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:09.915839,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:15.692528,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:17.967239,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:25.496747,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:27.812921,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:28.829018,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:29.582079,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:35.421950,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:35.836830,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:40.482497,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:46.613785,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:48.600180,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:44:50.625572,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:00.188650,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:14.498824,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:16.512764,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:32.441850,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:32.688234,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:38.764548,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:39.665270,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:45.496836,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:47.883720,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:45:59.908664,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:01.652157,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:04.513323,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:07.504462,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:09.525861,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:19.521997,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:26.252702,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:29.871678,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:30.906549,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:31.316060,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:32.777380,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:36.340567,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:37.424275,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:40.749677,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:47.251986,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:46:54.428048,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:03.273494,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:03.611422,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:05.976711,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:14.114371,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:29.971741,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:33.645395,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:37.000000,Start phone use,activity,asterisk,START,Phone sensor START,Start phone use,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:42.366600,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:42.772473,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
